id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48740630,Black Possum Cottage - Views of the Bay,221075043,Tea Gardens Real Estate,Mid-Coast,-32.684965092920486,152.0999171808974,Entire home/apt,289.0,1.0,8,2024-03-31,0.29,107,330,4,PID-STRA-7154
48742891,Retreat on Gleeson,368080622,Forster Accommodation,Mid-Coast,-32.18498,152.53004,Entire home/apt,274.0,3.0,7,2024-05-05,0.22,155,280,4,PID-STRA-18947
48758882,"Lake Getaway, opp lake, close 2 beach, free kayaks",391463575,Julie,Mid-Coast,-32.33388,152.52748,Entire home/apt,189.0,2.0,6,2024-02-08,0.33,3,192,1,PID-STRA-15839
48790575,The Outlook at Sapphire Oceanview Pool,55039714,Monique,Coffs Harbour,-30.2395257,153.1391736,Entire home/apt,601.0,1.0,20,2024-06-11,0.51,77,344,5,PID-STRA-11725
48795790,AMAROO ESCAPE - 3 Luxury Riverside Glamping Tents,156002035,Jim,Mid-Coast,-31.8633,151.83835,Entire home/apt,465.0,1.0,2,2021-07-02,0.05,3,211,0,Exempt
48812449,Forster Unit Seconds to the beach & Main Street,393206144,Robin,Mid-Coast,-32.18052,152.5114,Entire home/apt,93.0,3.0,59,2024-08-23,1.41,1,74,5,PID-STRA-11012
48814110,Bello Cottage. The Perfect Family Getaway.,65240785,Alex,Bellingen,-30.45848,152.89562,Entire home/apt,335.0,1.0,152,2024-09-01,3.64,1,278,47,PID-STRA-4831
48868325,Surfriders Beach Apartments  One Mile Beach 1,375933683,Samantha,Mid-Coast,-32.18582,152.53413,Entire home/apt,320.0,57.46116124253323,11,2024-03-06,0.28,2,310,3,PID-STRA-12515
48870784,Mi Casa Nambucca,312722523,Andy,Nambucca Valley,-30.6404,152.99894,Entire home/apt,180.0,2.0,116,2024-07-12,2.78,1,148,22,PID-STRA-21065
48873330,Rivers Edge Cabin by Tiny Away,154813436,Tiny Away,Mid-Coast,-31.93896,151.86609,Entire home/apt,194.0,1.0,86,2024-08-26,2.16,10,344,26,Exempt
48905682,"Nambucca Valley Train Carriages ""Green carriage""",167813625,Dave,Nambucca Valley,-30.66586,152.92658,Entire home/apt,150.0,1.0,172,2024-08-29,4.12,2,226,28,Exempt
48921887,"'Studio on Morgo'. Ocean views, Boardwalk, Lido",46129985,Lorraine,Bellingen,-30.498825073242188,153.02200317382812,Entire home/apt,250.0,2.0,10,2024-02-18,0.31,1,351,2,PID-STRA-10814
48925484,"Seabreeze 1 - 1/5 Paragon Avenue, South West Rocks",190222124,Elders Lifestyle Group,Kempsey,-30.88667,153.03879,Entire home/apt,174.0,1.0,11,2024-01-05,0.27,61,249,1,PID-STRA-21462
48940328,Villa 3 By The Sea,152532471,Away Stay Play,Coffs Harbour,-30.27156,153.14,Entire home/apt,197.0,1.0,70,2024-09-04,1.68,18,280,14,PID-STRA-16101
48945299,The Lazy Seal,27077736,Pacific Palms,Mid-Coast,-32.4368585,152.5278705,Entire home/apt,240.0,2.0,2,2022-04-07,0.06,119,301,0,PID-STRA-19211
48948681,"SaltyCrew Villa,Pets welcome,Private,Central.",107747352,Tracey,Mid-Coast,-32.67352,152.18038,Entire home/apt,165.0,2.0,70,2024-08-11,2.09,1,115,30,PID-STRA-47192
48960290,Kinchela Creek Cottage - Dog & Horse Friendly,391895672,Troy,Kempsey,-31.00293,152.98909,Entire home/apt,200.0,57.46116124253323,21,2023-02-24,0.52,1,36,0,PID-STRA-16884
48982418,Verandah Sunrise,276717433,Cardow Holidays,Coffs Harbour,-30.075108293613603,153.2003405860134,Entire home/apt,413.0,3.0,8,2024-08-04,0.27,43,306,3,PID-STRA-22450
48998844,Abode On Market in the heart of Woolgoolga,165541082,Marney,Coffs Harbour,-30.11135,153.20156,Entire home/apt,203.0,3.0,65,2024-07-14,1.56,1,232,8,PID-STRA-4015
49026881,Sea Haven Apartment - Watch the Whales May- Oct,395382015,Jack,Port Macquarie-Hastings,-31.44066,152.92299,Entire home/apt,190.0,2.0,1,2021-06-20,0.03,1,179,0,PID-STRA-17020
49069114,2 Bedroom Self Contained Unit,395741965,Lisa,Mid-Coast,-32.01335,151.95688,Entire home/apt,140.0,2.0,63,2024-08-05,1.57,1,316,20,PID-STRA-8612-1
49077683,The Lakeside House,134197775,Catherine,Mid-Coast,-32.18396,152.49439,Entire home/apt,200.0,2.0,95,2024-09-04,2.29,1,331,20,PID-STRA-5036
49082999,Self- contained Apt in Smiths Lake,395868317,Chris,Mid-Coast,-32.37754,152.50272,Entire home/apt,120.0,1.0,225,2024-08-31,5.51,1,78,60,PID-STRA-6691
49084435,"The lake, the beach, it's all here at Hawks Nest",123651695,Pauline,Mid-Coast,-32.67623,152.18146,Entire home/apt,130.0,3.0,49,2024-04-21,1.2,1,233,11,PID-STRA-20194-4
49163298,"Stylish retro caravan, bathroom, deck in the bush",71381467,Max And Anna,Kempsey,-31.20303,152.96504,Entire home/apt,130.0,1.0,41,2024-04-06,1.25,3,352,4,PID-STRA-4886
49215557,"Beautiful  cottage, walking distance to the beach",2210202,Elizabeth & Gary,Coffs Harbour,-30.06003,153.19547,Entire home/apt,300.0,7.0,4,2024-03-10,0.12,1,256,1,PID-STRA-26358
49237489,Port stephens cottage,397194127,David,Mid-Coast,-32.46845,151.9898,Entire home/apt,415.0,2.0,19,2023-10-01,0.5,1,363,1,PID-STRA-5232
49265660,JJ’S @ Diamond Waters,290670802,Julie,Port Macquarie-Hastings,-31.66863,152.80406,Entire home/apt,200.0,2.0,36,2024-07-08,0.91,1,28,8,PID-STRA-3501
49277694,Family Coastal Getaway - Linen & Towels Inc.,124022115,Andrew,Mid-Coast,-32.67317,152.18082,Entire home/apt,230.0,2.0,4,2024-04-27,0.51,1,48,4,PID-STRA-59612
49279977,Didi's Hideout,135622795,Deanne,Coffs Harbour,-30.30016,153.09722,Entire home/apt,119.0,1.0,11,2024-08-28,1.82,1,118,11,PID-STRA-46807
49327777,Braemar 3,368080622,Forster Accommodation,Mid-Coast,-32.18982,152.51122,Entire home/apt,239.0,3.0,3,2023-10-02,0.13,155,263,1,PID-STRA-15646
49423898,Oceanic 3 - On The Beach!,305163448,Forster Holiday Rentals,Mid-Coast,-32.178894,152.512787,Entire home/apt,154.0,1.0,3,2023-12-23,0.19,90,231,2,PID-STRA-24591-3
49471845,Oceanic 2 - On Main Beach!,305163448,Forster Holiday Rentals,Mid-Coast,-32.179008,152.512802,Entire home/apt,186.0,1.0,17,2024-05-24,0.49,90,249,7,PID-STRA-18367
49488341,Hibiscus Court 1 - Forster Main Beach!,305163448,Forster Holiday Rentals,Mid-Coast,-32.177948260121575,152.51290338440452,Entire home/apt,125.0,1.0,1,2024-01-11,0.13,90,211,1,PID-STRA-56500
